0,1
A.4_pfail,0.42818821295908827
policy,0.20008837748331965
discount rate 0,0.033413269202410736
A.2_Bmax,0.026863779089471712
A.5_pfail,0.025947520397463814
A.3_pfail,0.024367683793677337
A.2_pfail,0.022895268756244983
A.0_ID flood wave shape,0.021084039357253764
A.5_Bmax,0.02104187262979849
discount rate 1,0.02068691269234902
A.3_Bmax,0.020245313788412954
discount rate 2,0.020225976829037925
A.1_pfail,0.020011561950509942
A.4_Bmax,0.01864396245370859
A.1_Brate,0.01815370931648123
A.1_Bmax,0.018111192342832143
A.2_Brate,0.016049350610391203
A.3_Brate,0.015171809976976204
A.5_Brate,0.014691766815776266
A.4_Brate,0.014118419554795677
