0,1
policy,0.42257485564150893
A.4_pfail,0.17942742238528356
A.3_Bmax,0.030037545682675085
A.2_Bmax,0.02640137860857028
A.5_pfail,0.026263798805806707
A.4_Bmax,0.02560319624784745
A.1_Bmax,0.0250046462846885
A.1_pfail,0.023410119821450158
A.2_pfail,0.022804413112934158
discount rate 1,0.02263722926448763
A.3_pfail,0.02230254697461966
discount rate 0,0.02189171328784689
A.5_Bmax,0.02099802987775871
A.2_Brate,0.02020392150412451
discount rate 2,0.019627821911152064
A.0_ID flood wave shape,0.01920958634512184
A.5_Brate,0.01848085243860607
A.3_Brate,0.018111981792916242
A.4_Brate,0.017665253335111885
A.1_Brate,0.017343686677489784
