,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,A.4_Expected Annual Damage 0,A.4_Expected Number of Deaths 0,A.4_Expected Annual Damage 1,A.4_Expected Number of Deaths 1,A.4_Expected Annual Damage 2,A.4_Expected Number of Deaths 2,A.4_Expected Annual Damage 3,A.4_Expected Number of Deaths 3,Total Expected Annual Damage,Total Expected Number of Deaths
568,110.0,239.95174551645405,1.0,0.6282116445985415,204.2787241801397,10.0,0.3917480931884252,233.9221401530904,10.0,0.7538255967207369,75.71869905589233,1.5,0.18809437311897328,145.2565452827549,1.5,0.9204887506114632,2.5,4.5,3.5,20777697.21672377,0.013878660536507771,16170132.007005304,0.013878660536507771,18257955.49966158,0.013878660536507771,23840747.00761697,0.013878660536507771,79046531.73100762,0.055514642146031086
591,77.0,295.1067206278626,1.0,0.8265955075112345,290.3030978986892,1.5,0.895377878820088,199.25994763311212,1.0,0.9543961903872276,290.91797554108336,10.0,0.07591757450259773,175.26534398371732,1.0,0.574856663039203,4.5,1.5,4.5,22225938.93509339,0.01869887369519472,32769243.12855001,0.01869887369519472,22225938.93509339,0.01869887369519472,32769243.12855001,0.01869887369519472,109990364.1272868,0.07479549478077888
606,110.0,179.11762269715717,10.0,0.8106412965185729,151.74366440205083,1.5,0.3053282045304473,177.75367434844026,10.0,0.800108662722478,128.3838065690677,10.0,0.11639547846055333,297.0834792892249,1.0,0.1348871738794604,4.5,4.5,4.5,20035302.52629785,0.016830985414734736,20035302.52629785,0.016830985414734736,20035302.52629785,0.016830985414734736,20035302.52629785,0.016830985414734736,80141210.1051914,0.06732394165893894
617,63.0,173.2152241009042,1.0,0.4570887585387013,98.90539014013727,10.0,0.1584843155233043,295.3747244059092,1.5,0.6321650935959211,162.49117961193187,10.0,0.008508346757467058,188.4283540383673,1.5,0.7936728383651189,2.5,3.5,2.5,31904950.71569573,0.018155531368264262,28035790.69952008,0.018155531368264262,31904950.71569573,0.018155531368264262,31904950.71569573,0.018155531368264262,123750642.84660727,0.07262212547305705
631,11.0,139.49879312975548,10.0,0.95612665140775,150.09747456972087,1.0,0.6523293238104465,119.79136146914983,1.5,0.3206279924097379,304.26751197977944,1.0,0.02289267531127337,107.27649779137413,1.0,0.9315401614190802,4.5,1.5,3.5,26957190.70911208,0.020357443229299457,39744855.72867303,0.020357443229299457,30437796.559090104,0.020357443229299457,26957190.70911208,0.020357443229299457,124097033.7059873,0.08142977291719783
638,111.0,334.8826971183152,1.0,0.89614526444305,341.25363579837017,1.0,0.9462715789475556,185.5227233184928,1.0,0.4682627688520515,185.9935088978826,1.5,0.03463866966925063,138.22780784870466,10.0,0.9158917864339771,2.5,2.5,3.5,30041111.3171562,0.018125828847097736,30041111.3171562,0.018125828847097736,26397981.82964875,0.018125828847097736,23379334.60906178,0.018125828847097736,109859539.07302293,0.07250331538839094
646,28.0,257.8168876793539,1.0,0.9121758890267788,50.48515016202248,10.0,0.9488546891020108,96.06941054490801,10.0,0.4885410547517268,48.67553393492418,1.0,0.08235688867584452,108.19657305187113,1.0,0.618450699334395,2.5,3.5,3.5,29063336.734304506,0.0189112579560427,25538783.39989989,0.0189112579560427,25538783.39989989,0.0189112579560427,22618386.756521106,0.0189112579560427,102759290.2906254,0.0756450318241708
654,31.0,184.026819597826,1.0,0.5009494056930712,134.49787832257618,10.0,0.9903324559002656,343.85015369757,1.5,0.6635788020251971,335.95426716248437,1.5,0.11444927721169455,32.146265752624345,1.0,0.566569411594802,4.5,3.5,3.5,20378632.42852577,0.01724716815615723,23009840.85119361,0.01724716815615723,23009840.85119361,0.01724716815615723,26185380.187829036,0.01724716815615723,92583694.31874202,0.06898867262462892
669,49.0,334.5338517652018,10.0,0.5699114232113567,60.46248095763856,1.0,0.4850892325660488,86.44310398955086,1.0,0.8163340457118148,249.85289505159156,1.0,0.08677451880314886,43.04244822738616,10.0,0.4630860610864224,4.5,2.5,1.5,19086205.93372816,0.015910834982364067,24524685.867452264,0.015910834982364067,28140117.025894467,0.015910834982364067,28140117.025894467,0.015910834982364067,99891125.85296935,0.06364333992945627
717,82.0,300.2624941208439,1.0,0.8202279470150489,310.2197183172982,1.0,0.5095536797063985,154.253946795219,1.0,0.2990937060429705,38.486368568015976,1.0,0.0021877173727179442,290.82901911675617,10.0,0.389621584053141,2.5,4.5,1.5,35772766.11247162,0.02126655989454388,27839964.37433897,0.02126655989454388,41046390.16318126,0.02126655989454388,41046390.16318126,0.02126655989454388,145705510.81317312,0.08506623957817552
732,83.0,155.94330677519338,1.0,0.5661857115089444,242.85255409642232,1.0,0.9586735842243682,134.28345124873468,10.0,0.27994927777439305,265.8261745715626,1.0,0.13028270819585058,341.844196460244,10.0,0.30190013050838355,2.5,1.5,3.5,21382196.19977554,0.013530308520211105,24534361.27925526,0.013530308520211105,18789146.007301964,0.013530308520211105,18789146.007301964,0.013530308520211105,83494849.49363473,0.05412123408084442
735,126.0,77.57344335047783,1.5,0.4065808386702525,256.75652579076353,1.5,0.5996501171432265,133.88673926784605,10.0,0.9582095788087288,317.4173136593227,10.0,0.16382261697192588,242.45506780713745,10.0,0.6937537956461688,4.5,2.5,2.5,17176564.718501598,0.014520093099501506,22070905.83984552,0.014520093099501506,22070905.83984552,0.014520093099501506,22070905.83984552,0.014520093099501506,83389282.23803817,0.05808037239800602
740,78.0,111.34922838360062,1.5,0.6760059823882133,305.39504067405863,1.0,0.5129394995368801,116.87147327201824,10.0,0.3336524685224862,182.0065468527699,10.0,0.15614176988847905,36.79029677259544,10.0,0.2883758874542697,3.5,2.5,3.5,18886453.158428784,0.013995194852010364,21492932.504460506,0.013995194852010364,18886453.158428784,0.013995194852010364,24661422.33886238,0.013995194852010364,83927261.16018045,0.055980779408041456
772,3.0,323.38377078084017,10.0,0.8818204017167776,285.3631295764941,1.5,0.3722269516836088,39.579932795575225,1.5,0.7567001377750235,105.23514656413565,1.0,0.17223064054549472,316.4481339178845,1.5,0.6117232598353423,3.5,4.5,3.5,20262216.088204928,0.015254498611075846,17945202.512231637,0.015254498611075846,20262216.088204928,0.015254498611075846,26457856.553627484,0.015254498611075846,84927491.24226898,0.061017994444303385
782,88.0,297.96257309138804,1.0,0.7290711328598217,221.90528594049087,1.5,0.1197113429522204,272.5091152504973,10.0,0.4517535923652913,270.53999176028515,1.0,0.10869963889582013,147.66313169364568,1.5,0.9268366764325632,4.5,1.5,2.5,5460483.815897103,0.004290312274139092,8050769.971302131,0.004290312274139092,7016410.21448547,0.004290312274139092,6165519.890256938,0.004290312274139092,26693183.89194164,0.017161249096556367
808,117.0,110.38768735851038,1.0,0.462016447726432,208.40530091928983,10.0,0.35683855402536324,265.9001467656572,1.5,0.6798138104176921,278.62481101246124,10.0,0.12779776182303906,340.96082251756803,10.0,0.33461692713662955,4.5,1.5,2.5,20620795.42427064,0.0174352795494145,30402668.73473154,0.0174352795494145,26496545.82336631,0.0174352795494145,23283270.97520613,0.0174352795494145,100803280.95757464,0.069741118197658
